country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-01,-70,-58,-22,-75,-77,23
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-02,-32,-7,-20,-36,-21,7
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-03,-29,-10,-11,-47,-7,2
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-04,-20,3,-11,-30,-25,8
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-05,-24,-3,-21,-33,-26,9
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-06,-25,-3,-24,-33,-25,9
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-07,-27,-6,-24,-33,-26,10
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-08,-23,-1,-20,-33,-20,8
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-09,-25,-1,-26,-35,-7,4
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-10,-25,-3,-18,-49,-5,1
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-11,-24,-2,-17,-34,-24,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-12,-25,-6,-19,-35,-25,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-13,-27,-7,-24,-36,-26,5
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-14,-30,-12,-26,-36,-29,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-15,-25,-5,-23,-36,-25,5
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-16,-26,-4,-23,-39,-11,1
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-17,-25,-5,-13,-50,-10,-1
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-18,-27,-7,-22,-36,-29,5
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-19,-28,-11,-27,-38,-29,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-20,-28,-9,-26,-38,-28,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-21,-28,-11,-24,-40,-28,6
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-22,-23,-3,-21,-37,-23,5
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-23,-22,2,-19,-33,-8,1
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-24,-20,4,-11,-45,-7,-2
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-25,-20,2,-14,-35,-27,4
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-26,-20,0,-19,-36,-27,5
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-27,-21,1,-21,-32,-26,4
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-28,-22,-1,-20,-31,-27,4
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-29,-17,6,-16,-29,-22,2
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-30,-17,9,-16,-23,-7,-3
TT,Trinidad and Tobago,,,,,,ChIJxbZQY5cHNowRJ_E5xlUoCP8,2021-01-31,-16,10,-8,-42,-5,-5
