country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-01,-16,-13,10,-9,-62,18
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-02,-13,6,14,7,-23,10
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-03,-12,-9,16,10,-17,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-04,-6,16,15,13,-16,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-05,-3,12,16,14,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-06,2,15,10,14,-11,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-07,1,18,9,16,-11,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-08,-3,10,13,10,-11,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-09,-5,10,11,8,-10,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-10,-9,-11,9,3,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-11,-2,13,18,8,-11,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-12,-7,3,9,-2,-46,17
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-13,-3,7,7,1,-11,5
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-14,-8,1,-2,-6,-16,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-15,-14,-5,-1,-11,-18,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-16,-17,-6,-7,-14,-19,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-17,-16,-22,-7,-13,-23,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-18,-16,-3,-2,-11,-18,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-19,-14,-6,-3,-12,-18,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-20,-12,-1,-3,-9,-16,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-21,-11,1,-4,-7,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-22,-14,-6,-2,-9,-16,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-23,-15,-4,-7,-11,-16,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-24,-14,-20,-4,-10,-20,9
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-25,-13,2,2,-7,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-26,-9,1,1,-5,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-27,-7,4,-1,-4,-13,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-28,-7,5,-1,-2,-13,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-29,-9,-1,-6,-4,-15,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-30,-9,2,-9,-3,-18,5
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-01-31,-10,-13,-10,-4,-23,5
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-01,-11,6,-7,-4,-15,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-02,-7,3,-8,-3,-15,5
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-03,-10,6,-7,-4,-14,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-04,-9,8,-3,-3,-16,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-05,-12,1,-3,-6,-17,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-06,-13,0,-3,-6,-19,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-07,-14,-19,0,-9,-25,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-08,-17,3,-4,-6,-19,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-09,-15,1,-5,-7,-18,9
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-10,-11,8,-5,-3,-16,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-11,-10,4,-10,-5,-18,9
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-12,-12,-1,-13,-8,-17,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-13,-12,-1,-16,-11,-21,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-14,-8,-14,-13,-9,-24,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-15,-12,2,-15,-7,-16,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-16,-9,-1,-17,-7,-16,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-17,-7,2,-14,-6,-14,6
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-18,-7,3,-16,-4,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-19,-12,1,-15,-9,-15,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-20,-13,1,-15,-11,-16,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-21,-14,-16,-16,-12,-24,7
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-22,-12,5,-15,-8,-15,8
TZ,Tanzania,,,,,,ChIJEaFpSDFRSxgRMMTBSzEXWog,2021-02-23,-4,1,-14,-8,-15,7
