country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-01,-58,-50,4,-55,-84,20
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-02,-27,-20,16,-27,-42,5
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-03,-22,-12,-4,-19,-20,2
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-04,-13,-1,-1,-18,-36,7
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-05,-11,6,-7,-16,-36,6
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-06,-14,12,10,-13,-42,4
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-07,-41,-30,0,-44,-80,14
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-08,-49,-22,-5,-41,-68,15
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-09,-48,-19,-2,-32,-35,4
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-10,-47,-16,-6,-29,-26,2
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-11,-36,-7,-6,-24,-33,7
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-12,-37,-8,-12,-26,-34,6
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-13,-38,-6,-5,-26,-36,4
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-14,-43,-16,-3,-29,-41,4
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-15,-46,-19,-21,-33,-40,6
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-16,-51,-21,-24,-34,-6,1
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-17,-56,-27,-30,-43,-35,4
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-18,-46,-20,-24,-35,-41,8
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-19,-48,-24,-16,-37,-44,8
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-20,-45,-19,-21,-34,-40,7
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-21,-41,-15,-14,-30,-39,6
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-22,-42,-12,-20,-29,-37,7
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-23,-45,-15,-14,-29,-29,2
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-24,-49,-18,-25,-33,-27,2
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-25,-17,-6,-18,-18,-22,1
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-26,-21,-8,-21,-21,-22,0
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-27,-22,-7,-18,-20,-22,1
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-28,-24,-9,-17,-20,-23,1
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-29,-23,-6,-20,-18,-22,1
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-30,-20,-6,-16,-17,-19,0
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-01-31,-23,-7,-19,-19,-17,0
UA,Ukraine,,,,,,ChIJjw5wVMHZ0UAREED2iIQGAQA,2021-02-01,-23,-8,-19,-18,-21,1
