country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-01,-2,20,11,-1,-60,3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-02,-13,11,-5,-12,-28,1
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-03,-13,7,-5,2,-12,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-04,-17,5,-19,-2,17,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-05,-19,6,-21,-4,20,-4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-06,-15,3,-23,-7,20,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-07,-17,3,-24,-11,17,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-08,-12,3,-25,-8,6,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-09,-9,9,-25,-8,5,-2
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-10,-7,10,-15,-8,-7,-2
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-11,-14,7,-22,-8,17,-4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-12,-14,11,-22,-5,20,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-13,-15,2,-25,-10,19,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-14,-16,0,-26,-13,12,-10
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-15,-11,-1,-26,-11,-1,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-16,-9,4,-25,-9,-4,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-17,-11,3,-20,-13,-13,-4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-18,-15,2,-22,-10,11,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-19,-17,2,-26,-9,14,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-20,-14,-2,-26,-11,14,-8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-21,-16,-1,-25,-13,11,-10
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-22,-10,-1,-23,-9,1,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-23,-8,6,-21,-7,-1,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-24,-6,7,-10,-7,-8,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-25,-13,3,-21,-10,13,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-26,-14,6,-22,-7,15,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-27,-13,1,-24,-9,15,-8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-28,-15,2,-25,-12,12,-10
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-29,-10,4,-26,-8,1,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-30,-10,11,-27,-8,-1,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-01-31,-11,12,-19,-11,-11,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-01,-13,11,-21,-11,3,-10
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-02,-15,14,-23,-9,0,-9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-03,-14,11,-24,-14,-4,-10
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-04,-18,10,-24,-22,-10,-9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-05,-9,13,-19,-15,-20,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-06,-9,21,-16,-8,-22,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-07,-8,22,0,-8,-22,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-08,-7,32,2,-13,-34,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-09,-16,35,0,-14,-45,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-10,-10,57,21,-18,-66,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-11,-28,30,16,-42,-71,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-12,-37,-29,24,-53,-79,1
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-13,-31,-16,23,-42,-73,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-14,-26,-14,28,-40,-54,-8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-15,-21,-7,29,-35,-73,-4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-16,-27,-8,4,-31,-69,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-17,-24,-7,-14,-27,-30,-8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-18,-28,-8,-22,-35,-30,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-19,-23,-5,-23,-30,-31,-4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-20,-23,-1,-26,-28,-29,-3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-21,-21,3,-18,-25,-26,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-22,-22,-2,-25,-27,-10,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-23,-24,0,-26,-25,-8,-7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-24,-22,-4,-28,-28,-7,-8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-25,-24,0,-28,-30,-9,-9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-26,-19,0,-25,-27,-18,-6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-27,-18,0,-27,-22,-18,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-02-28,-19,-2,-22,-21,-25,-5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2021-03-01,-19,0,-28,-21,-2,-8
