country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-01,-10,-2,38,-23,-64,21
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-02,-7,3,26,-12,-18,15
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-03,3,15,30,-4,-14,9
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-04,14,24,20,5,-14,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-05,7,17,22,1,-14,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-06,6,20,21,3,-14,12
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-07,4,19,20,3,-16,13
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-08,-3,13,17,0,-12,13
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-09,-4,11,18,-4,-5,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-10,-2,10,20,-15,-13,11
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-11,4,14,22,-6,-14,12
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-12,0,10,20,-6,-17,11
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-13,-6,5,14,-12,-20,11
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-14,-11,-4,7,-17,-27,12
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-15,-18,-9,0,-21,-28,14
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-16,-21,-13,2,-26,-23,13
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-17,-21,-15,-3,-34,-28,14
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-18,-16,-12,2,-26,-29,16
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-19,-18,-12,2,-25,-30,16
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-20,-15,-7,4,-23,-29,17
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-21,-12,-4,3,-17,-29,15
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-22,-15,-4,3,-19,-26,16
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-23,-15,-5,0,-21,-19,13
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-24,-14,-6,4,-28,-24,13
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-25,-8,-1,6,-21,-25,16
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-26,-10,-3,11,-21,-26,15
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-27,-4,6,9,-13,-24,14
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-28,-5,4,5,-12,-25,14
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-29,-6,6,-1,-10,-22,12
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-30,0,12,-2,-8,-16,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-01-31,-1,11,-5,-17,-24,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-01,3,14,-7,-11,-22,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-02,-1,10,1,-11,-22,8
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-03,-3,10,3,-11,-21,9
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-04,-1,8,6,-11,-23,9
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-05,-7,6,4,-13,-20,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-06,-4,7,10,-13,-16,8
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-07,-7,4,10,-25,-24,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-08,-2,6,4,-14,-21,9
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-09,-3,6,8,-13,-20,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-10,-3,7,3,-13,-20,10
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-11,-3,8,-4,-11,-21,9
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-12,-5,7,-14,-11,-18,8
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-13,-2,10,-13,-13,-18,6
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-14,8,15,-10,-20,-24,5
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-15,-1,8,-14,-14,-19,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-16,-5,7,-18,-14,-21,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-17,-2,11,-17,-12,-18,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-18,-1,10,-14,-9,-20,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-19,-5,7,-15,-12,-16,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-20,-2,11,-12,-14,-16,5
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-21,-5,7,-14,-25,-27,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-22,0,10,-15,-13,-16,6
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-23,-3,8,-15,-13,-18,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-24,2,14,-15,-9,-16,7
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-25,6,19,-12,-3,-17,6
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-26,8,22,-10,-3,-15,6
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-27,14,28,-7,0,-12,3
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-02-28,9,22,-8,-15,-21,5
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-03-01,11,23,-13,-6,-16,6
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-03-02,13,25,-9,0,-14,4
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-03-03,12,26,-11,0,-13,4
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-03-04,12,23,-8,1,-15,4
ZM,Zambia,,,,,,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,2021-03-05,9,22,-6,0,-11,4
